customer_id,country,signup_date
1,Spain,15-05-2023
2,Italy,10-02-2023
3,Spain,23-10-2023
4,France,03-01-2023
5,Italy,05-02-2024
6,Italy,13-07-2023
7,Spain,07-04-2024
8,France,20-04-2023
9,Morocco,09-08-2023
10,Italy,05-01-2024
11,Morocco,03-01-2024
12,France,11-03-2024
13,Italy,10-02-2024
14,Italy,04-01-2023
15,Morocco,01-09-2023
16,Germany,25-01-2024
17,Morocco,15-06-2023
18,Morocco,26-01-2023
19,Germany,30-01-2024
20,France,18-04-2024
21,France,17-01-2023
22,Italy,04-08-2023
23,Spain,02-04-2023
24,Spain,27-04-2024
25,Italy,31-01-2023
26,Spain,24-07-2023
27,Morocco,23-02-2024
28,Morocco,04-02-2024
29,Germany,26-07-2023
30,Germany,17-04-2023
31,Italy,26-05-2023
32,Italy,02-01-2024
33,Italy,11-04-2023
34,Morocco,03-01-2024
35,Spain,14-11-2023
36,Italy,03-01-2024
37,Italy,29-08-2023
38,Morocco,03-05-2024
39,Morocco,15-02-2024
40,Morocco,04-09-2023
41,Spain,12-06-2023
42,Italy,07-01-2024
43,France,22-06-2023
44,France,04-02-2023
45,Italy,11-10-2023
46,Italy,25-12-2023
47,Italy,16-01-2024
48,Italy,24-12-2023
49,Spain,28-01-2024
50,France,04-04-2024
51,Germany,03-02-2024
52,France,21-01-2023
53,France,04-11-2023
54,Morocco,12-06-2023
55,Italy,04-05-2024
56,Italy,07-04-2023
57,Italy,03-11-2023
58,Morocco,05-12-2023
59,Spain,24-02-2023
60,Spain,15-04-2024
61,Germany,29-11-2023
62,Spain,07-05-2023
63,Spain,03-03-2024
64,Italy,12-07-2023
65,France,31-08-2023
66,Spain,15-12-2023
67,Spain,29-03-2023
68,Morocco,02-12-2023
69,Germany,13-02-2024
70,Morocco,03-08-2023
71,Italy,02-04-2023
72,France,30-10-2023
73,Germany,08-04-2024
74,Morocco,23-08-2023
75,Spain,03-07-2023
76,Spain,07-02-2023
77,Germany,19-05-2023
78,Spain,14-07-2023
79,Morocco,15-01-2023
80,Morocco,14-09-2023
81,Spain,15-05-2023
82,Spain,01-01-2023
83,Italy,18-02-2023
84,France,06-04-2023
85,Germany,20-07-2023
86,Morocco,17-02-2024
87,Germany,26-01-2023
88,Italy,09-12-2023
89,Morocco,04-03-2024
90,Italy,23-08-2023
91,Italy,15-12-2023
92,Spain,01-09-2023
93,Germany,24-12-2023
94,Germany,25-04-2024
95,Spain,23-11-2023
96,Germany,31-01-2024
97,Spain,17-12-2023
98,Morocco,20-02-2024
99,Italy,09-01-2024
100,Italy,08-02-2024
101,Germany,10-01-2024
102,France,20-02-2023
103,Italy,22-03-2023
104,Spain,05-02-2023
105,France,08-03-2023
106,France,09-05-2023
107,Italy,05-01-2024
108,Italy,04-06-2023
109,Italy,02-09-2023
110,Spain,21-04-2023
111,France,17-06-2023
112,Germany,25-04-2024
113,Spain,12-04-2024
114,Morocco,22-05-2023
115,Italy,22-12-2023
116,France,16-07-2023
117,Spain,15-04-2024
118,Morocco,19-04-2023
119,Spain,11-01-2024
120,Spain,20-03-2023
121,Germany,25-01-2024
122,Germany,10-06-2023
123,Spain,14-03-2024
124,Morocco,19-01-2023
125,France,07-05-2023
126,France,24-07-2023
127,Italy,29-01-2023
128,Italy,20-03-2024
129,France,29-03-2024
130,Spain,26-07-2023
131,Spain,08-04-2024
132,Germany,07-10-2023
133,Germany,31-05-2023
134,Italy,28-08-2023
135,France,23-09-2023
136,Spain,01-07-2023
137,France,15-04-2023
138,Morocco,29-02-2024
139,France,08-03-2024
140,Morocco,05-02-2024
141,Germany,11-05-2024
142,Germany,15-03-2024
143,Italy,24-08-2023
144,France,22-06-2023
145,France,07-06-2023
146,Morocco,21-06-2023
147,Germany,08-05-2024
148,Morocco,02-04-2024
149,Germany,07-11-2023
150,Morocco,07-02-2024
151,Germany,06-06-2023
152,Morocco,15-09-2023
153,Germany,13-06-2023
154,Morocco,27-05-2023
155,France,26-01-2024
156,Italy,03-06-2023
157,Morocco,07-04-2024
158,Italy,02-01-2024
159,France,07-02-2023
160,France,11-05-2023
161,Germany,24-12-2023
162,Italy,12-09-2023
163,Spain,27-07-2023
164,Germany,25-03-2024
165,Italy,05-04-2023
166,Morocco,14-12-2023
167,Morocco,23-11-2023
168,France,22-04-2024
169,Spain,20-06-2023
170,Morocco,07-09-2023
171,Italy,09-07-2023
172,Italy,18-07-2023
173,Morocco,28-04-2024
174,Italy,09-08-2023
175,Italy,24-01-2023
176,France,01-09-2023
177,Spain,27-02-2024
178,France,20-11-2023
179,Spain,08-05-2023
180,Italy,03-04-2023
181,Spain,27-10-2023
182,Italy,13-05-2023
183,Italy,24-02-2023
184,France,21-04-2024
185,France,07-06-2023
186,Germany,29-01-2023
187,Morocco,14-02-2024
188,Germany,30-07-2023
189,Germany,03-06-2023
190,Spain,20-10-2023
191,Italy,19-04-2024
192,Italy,10-08-2023
193,Italy,25-04-2023
194,Morocco,12-03-2024
195,Spain,07-06-2023
196,Spain,16-09-2023
197,Italy,08-09-2023
198,Germany,02-05-2023
199,Morocco,26-10-2023
200,Germany,20-09-2023
201,France,16-01-2024
202,Spain,18-02-2023
203,Spain,12-01-2024
204,Germany,25-11-2023
205,Morocco,24-10-2023
206,Spain,28-12-2023
207,Germany,18-03-2023
208,Morocco,07-04-2024
209,Germany,13-03-2024
210,Morocco,07-05-2023
211,Italy,16-07-2023
212,Morocco,09-08-2023
213,France,27-04-2024
214,Italy,01-04-2023
215,Germany,15-02-2024
216,Italy,08-01-2023
217,Italy,01-02-2023
218,Germany,12-04-2024
219,Germany,16-11-2023
220,France,29-01-2024
221,Germany,26-09-2023
222,Spain,10-07-2023
223,Spain,15-12-2023
224,France,12-06-2023
225,Morocco,02-03-2023
226,Morocco,13-03-2024
227,Spain,21-09-2023
228,Germany,12-10-2023
229,France,05-04-2023
230,Morocco,10-02-2023
231,Morocco,18-02-2024
232,Italy,14-04-2024
233,Spain,29-05-2023
234,Germany,23-07-2023
235,France,24-09-2023
236,Morocco,02-01-2023
237,Italy,27-06-2023
238,Spain,29-02-2024
239,Spain,13-07-2023
240,France,26-04-2024
241,Morocco,22-01-2024
242,France,02-12-2023
243,France,10-03-2024
244,Italy,15-07-2023
245,Spain,09-12-2023
246,Germany,06-09-2023
247,Spain,12-05-2024
248,Spain,31-07-2023
249,Italy,02-06-2023
250,Germany,07-06-2023
251,Morocco,10-04-2024
252,Germany,28-12-2023
253,Morocco,19-05-2023
254,Germany,09-08-2023
255,France,30-09-2023
256,Germany,03-06-2023
257,Italy,06-09-2023
258,Morocco,06-10-2023
259,Spain,15-03-2024
260,Italy,11-03-2024
261,Morocco,31-10-2023
262,Morocco,03-10-2023
263,Spain,07-05-2024
264,France,02-01-2023
265,Italy,29-03-2023
266,Spain,14-10-2023
267,Spain,15-02-2024
268,France,10-05-2023
269,Italy,19-03-2023
270,Spain,17-09-2023
271,France,29-08-2023
272,Italy,21-05-2023
273,Germany,16-08-2023
274,Morocco,12-06-2023
275,France,24-08-2023
276,Morocco,08-05-2023
277,Germany,19-07-2023
278,Spain,25-03-2024
279,Spain,25-01-2024
280,Italy,31-01-2023
281,France,18-05-2023
282,France,06-05-2024
283,Italy,21-01-2023
284,Morocco,22-08-2023
285,Spain,21-07-2023
286,Spain,06-10-2023
287,France,11-05-2023
288,France,20-02-2024
289,Italy,28-05-2023
