order_id,customer_id,order_date,status
1,103,31-10-2024,Completed
2,271,12-10-2024,Completed
3,107,23-05-2024,Completed
4,72,19-01-2024,Completed
5,189,18-01-2024,Completed
6,21,13-09-2024,Completed
7,103,18-03-2024,Completed
8,122,23-06-2024,Cancelled
9,215,12-07-2024,Completed
10,88,22-04-2024,Completed
11,100,23-04-2024,Completed
12,152,09-08-2024,Completed
13,131,14-06-2024,Completed
14,150,14-11-2024,Completed
15,258,11-05-2024,Completed
16,294,20-09-2024,Completed
17,192,24-02-2024,Completed
18,277,24-12-2024,Completed
19,161,10-05-2024,Returned
20,22,14-10-2024,Completed
21,253,22-09-2024,Completed
22,236,10-06-2024,Completed
23,49,27-03-2024,Completed
24,59,24-02-2024,Completed
25,170,14-10-2024,Completed
26,188,26-06-2024,Returned
27,271,14-12-2024,Completed
28,190,08-01-2024,Completed
29,175,16-11-2024,Completed
30,51,08-11-2024,Completed
31,55,03-09-2024,Completed
32,244,18-11-2024,Completed
33,131,11-09-2024,Completed
34,135,23-11-2024,Cancelled
35,21,23-02-2024,Completed
36,167,05-09-2024,Completed
37,274,26-08-2024,Completed
38,89,16-08-2024,Completed
39,14,07-03-2024,Completed
40,242,20-02-2024,Completed
41,265,06-04-2024,Completed
42,53,01-04-2024,Cancelled
43,92,20-09-2024,Completed
44,264,17-10-2024,Completed
45,35,05-04-2024,Cancelled
46,206,28-03-2024,Completed
47,81,18-03-2024,Completed
48,50,14-10-2024,Completed
49,2,29-04-2024,Completed
50,54,28-10-2024,Completed
51,106,13-06-2024,Returned
52,260,30-06-2024,Completed
53,191,10-08-2024,Completed
54,218,06-11-2024,Completed
55,44,07-01-2024,Completed
56,162,25-11-2024,Completed
57,202,19-09-2024,Completed
58,270,09-06-2024,Returned
59,271,30-05-2024,Completed
60,215,25-03-2024,Completed
61,252,26-05-2024,Completed
62,190,21-04-2024,Completed
63,296,05-02-2024,Completed
64,213,11-10-2024,Completed
65,208,06-07-2024,Completed
66,237,22-03-2024,Completed
67,53,02-01-2024,Completed
68,280,29-10-2024,Completed
69,217,15-07-2024,Returned
70,252,11-01-2024,Completed
71,188,21-08-2024,Completed
72,41,13-07-2024,Completed
73,157,28-04-2024,Returned
74,15,20-01-2024,Returned
75,65,17-09-2024,Completed
76,9,19-10-2024,Cancelled
77,129,12-09-2024,Completed
78,136,09-08-2024,Completed
79,63,13-08-2024,Completed
80,139,22-02-2024,Completed
81,81,20-12-2024,Completed
82,163,07-12-2024,Cancelled
83,289,29-12-2024,Completed
84,261,06-10-2024,Completed
85,231,21-03-2024,Completed
86,41,20-07-2024,Completed
87,28,06-06-2024,Completed
88,135,29-04-2024,Completed
89,201,28-02-2024,Completed
90,268,02-08-2024,Returned
91,33,07-05-2024,Completed
92,48,11-08-2024,Completed
93,62,27-07-2024,Completed
94,216,24-04-2024,Completed
95,293,27-07-2024,Completed
96,99,14-01-2024,Completed
97,172,09-01-2024,Returned
98,214,09-02-2024,Completed
99,35,24-08-2024,Returned
100,227,07-10-2024,Cancelled
101,101,24-12-2024,Completed
102,131,19-07-2024,Returned
103,257,02-09-2024,Completed
104,5,04-10-2024,Cancelled
105,218,22-08-2024,Completed
106,255,04-01-2024,Cancelled
107,283,02-06-2024,Cancelled
108,207,29-01-2024,Cancelled
109,15,18-04-2024,Completed
110,42,07-04-2024,Completed
111,179,02-08-2024,Completed
112,63,19-10-2024,Completed
113,231,15-03-2024,Completed
114,241,21-11-2024,Completed
115,52,25-05-2024,Completed
116,96,07-05-2024,Returned
117,222,06-12-2024,Completed
118,231,11-02-2024,Cancelled
119,237,21-12-2024,Completed
120,143,10-02-2024,Cancelled
121,171,03-02-2024,Returned
122,29,17-01-2024,Completed
123,36,13-06-2024,Completed
124,13,01-06-2024,Completed
125,160,16-03-2024,Completed
126,187,27-03-2024,Completed
127,243,26-04-2024,Completed
128,86,27-12-2024,Completed
129,284,07-12-2024,Completed
130,66,27-01-2024,Completed
131,170,08-11-2024,Completed
132,45,13-10-2024,Completed
133,62,13-05-2024,Returned
134,134,06-08-2024,Completed
135,284,16-06-2024,Returned
136,28,07-04-2024,Completed
137,108,24-09-2024,Completed
138,44,24-08-2024,Completed
139,286,04-11-2024,Completed
140,128,21-06-2024,Completed
141,231,08-07-2024,Completed
142,190,01-05-2024,Completed
143,225,15-02-2024,Completed
144,283,04-03-2024,Completed
145,121,09-05-2024,Completed
146,116,05-11-2024,Completed
147,233,28-12-2024,Completed
148,259,11-07-2024,Completed
149,198,02-11-2024,Completed
150,137,29-06-2024,Returned
151,165,18-10-2024,Completed
152,225,08-10-2024,Completed
153,234,29-01-2024,Returned
154,172,28-05-2024,Completed
155,152,23-09-2024,Completed
156,160,22-10-2024,Completed
157,96,11-01-2024,Completed
158,233,12-06-2024,Completed
159,180,22-04-2024,Completed
160,113,05-07-2024,Completed
161,52,21-10-2024,Completed
162,268,19-08-2024,Returned
163,295,14-08-2024,Cancelled
164,113,05-11-2024,Completed
165,101,07-04-2024,Completed
166,113,24-02-2024,Completed
167,81,20-04-2024,Completed
168,187,31-05-2024,Completed
169,113,02-09-2024,Completed
170,2,09-03-2024,Cancelled
171,130,07-11-2024,Completed
172,220,15-10-2024,Completed
173,54,06-09-2024,Completed
174,224,05-02-2024,Completed
175,225,26-08-2024,Cancelled
176,126,27-05-2024,Completed
177,130,14-08-2024,Completed
178,53,31-08-2024,Completed
179,172,02-12-2024,Completed
180,218,30-12-2024,Completed
181,160,19-07-2024,Completed
182,198,02-06-2024,Completed
183,247,13-03-2024,Completed
184,203,19-07-2024,Completed
185,184,22-10-2024,Completed
186,123,17-01-2024,Completed
187,255,08-05-2024,Completed
188,294,04-08-2024,Completed
189,280,01-03-2024,Returned
190,98,13-04-2024,Cancelled
191,198,11-02-2024,Returned
192,240,25-01-2024,Completed
193,144,08-02-2024,Completed
194,97,17-10-2024,Completed
195,201,10-05-2024,Completed
196,124,16-08-2024,Cancelled
197,187,17-04-2024,Completed
198,259,20-06-2024,Completed
199,148,11-04-2024,Completed
200,252,19-12-2024,Completed
201,147,12-01-2024,Completed
202,148,01-10-2024,Completed
203,199,10-04-2024,Completed
204,128,13-02-2024,Completed
205,39,31-10-2024,Completed
206,129,17-01-2024,Completed
207,267,25-11-2024,Cancelled
208,151,26-02-2024,Returned
209,298,06-11-2024,Completed
210,99,29-10-2024,Completed
211,263,12-01-2024,Completed
212,252,13-11-2024,Completed
213,144,20-03-2024,Completed
214,112,03-08-2024,Cancelled
215,60,04-12-2024,Completed
216,2,20-09-2024,Returned
217,254,28-05-2024,Completed
218,140,21-03-2024,Completed
219,37,02-08-2024,Completed
220,160,16-07-2024,Cancelled
221,9,18-07-2024,Completed
222,233,25-01-2024,Completed
223,99,29-03-2024,Completed
224,147,24-09-2024,Completed
225,208,22-05-2024,Completed
226,131,28-02-2024,Completed
227,152,30-12-2024,Completed
228,54,26-01-2024,Completed
229,120,16-02-2024,Completed
230,161,14-10-2024,Completed
231,116,22-09-2024,Completed
232,75,16-01-2024,Completed
233,113,17-07-2024,Completed
234,104,08-10-2024,Completed
235,254,26-03-2024,Returned
